ID,USERID,PACKAGEID,REGDATE,DOMAIN,DOMAINSTATUS,NEXTDUEDATE
574026,76446,153,11/05/2018 00:00:00,,Active,11/10/2019 00:00:00
575557,91807,83,12/12/2018 00:00:00,,Active,12/10/2019 00:00:00
575559,91812,82,13/12/2018 00:00:00,,Active,13/10/2019 00:00:00
575572,91788,153,14/12/2018 00:00:00,,Active,14/10/2019 00:00:00
575575,69022,82,14/12/2018 00:00:00,,Active,14/10/2019 00:00:00
575581,91837,153,17/12/2018 00:00:00,,Active,17/10/2019 00:00:00
575584,89658,83,17/12/2018 00:00:00,,Active,17/10/2019 00:00:00
575597,91854,82,18/12/2018 00:00:00,,Active,18/10/2019 00:00:00
575643,91912,103,29/12/2018 00:00:00,,Active,01/10/2019 00:00:00
577164,94125,103,05/06/2019 00:00:00,,Active,05/10/2019 00:00:00
577165,93713,168,05/06/2019 00:00:00,,Active,05/10/2019 00:00:00
577170,94209,168,06/06/2019 00:00:00,,Active,06/10/2019 00:00:00
577173,94073,168,06/06/2019 00:00:00,,Active,06/10/2019 00:00:00
577188,68920,82,07/06/2019 00:00:00,,Active,07/10/2019 00:00:00
577189,94233,104,08/06/2019 00:00:00,,Active,08/10/2019 00:00:00
577198,94251,168,09/06/2019 00:00:00,,Active,09/10/2019 00:00:00
577207,94275,123,10/06/2019 00:00:00,,Active,10/10/2019 00:00:00
577211,90637,83,11/06/2019 00:00:00,,Active,11/10/2019 00:00:00
577229,94306,62,12/06/2019 00:00:00,,Active,19/10/2019 00:00:00
577230,71208,153,12/06/2019 00:00:00,,Active,12/10/2019 00:00:00
577231,94308,153,12/06/2019 00:00:00,,Active,12/10/2019 00:00:00
577232,91865,168,12/06/2019 00:00:00,,Active,12/10/2019 00:00:00
577234,94310,168,13/06/2019 00:00:00,,Active,13/10/2019 00:00:00
577238,93941,168,13/06/2019 00:00:00,,Active,13/10/2019 00:00:00
577245,94324,168,13/06/2019 00:00:00,,Active,13/10/2019 00:00:00
577247,93015,82,14/06/2019 00:00:00,,Active,14/10/2019 00:00:00
577259,94339,103,15/06/2019 00:00:00,,Active,15/10/2019 00:00:00
577264,94358,103,17/06/2019 00:00:00,,Active,17/10/2019 00:00:00
572441,86090,153,09/11/2017 00:00:00,,Active,09/10/2019 00:00:00
572442,63117,163,09/11/2017 00:00:00,,Active,09/10/2019 00:00:00
572464,87644,84,11/11/2017 00:00:00,,Active,11/10/2019 00:00:00
572495,87194,82,16/11/2017 00:00:00,,Active,16/10/2019 00:00:00
572497,82964,82,16/11/2017 00:00:00,,Active,16/10/2019 00:00:00
572510,87703,153,17/11/2017 00:00:00,,Active,17/10/2019 00:00:00
572522,87724,104,19/11/2017 00:00:00,,Active,19/10/2019 00:00:00
574036,89682,168,13/05/2018 00:00:00,,Active,13/10/2019 00:00:00
574038,89010,82,14/05/2018 00:00:00,,Active,14/10/2019 00:00:00
574053,89271,82,15/05/2018 00:00:00,,Active,15/10/2019 00:00:00
574062,89711,82,16/05/2018 00:00:00,,Active,16/10/2019 00:00:00
574068,89691,82,17/05/2018 00:00:00,,Active,17/10/2019 00:00:00
574069,89664,82,17/05/2018 00:00:00,,Active,17/10/2019 00:00:00
574071,89725,83,17/05/2018 00:00:00,,Active,17/10/2019 00:00:00
574080,89737,103,18/05/2018 00:00:00,,Active,18/10/2019 00:00:00
574086,73882,103,18/05/2018 00:00:00,,Active,18/10/2019 00:00:00
574087,89745,153,18/05/2018 00:00:00,,Active,18/10/2019 00:00:00
574107,89774,82,22/05/2018 00:00:00,,Active,22/10/2019 00:00:00
574109,57978,111,22/05/2018 00:00:00,,Active,22/10/2019 00:00:00
574121,89649,168,23/05/2018 00:00:00,,Active,23/10/2019 00:00:00
574130,78260,104,24/05/2018 00:00:00,,Active,24/10/2019 00:00:00
49777,59801,82,21/10/2008 00:00:00,,Active,21/10/2019 00:00:00
49794,59699,82,23/10/2008 00:00:00,,Active,23/10/2019 00:00:00
49815,57937,123,24/10/2008 00:00:00,,Active,24/10/2019 00:00:00
49824,59754,83,24/10/2008 00:00:00,,Active,24/10/2019 00:00:00
49874,59790,82,30/10/2008 00:00:00,,Active,30/10/2019 00:00:00
49879,59788,83,30/10/2008 00:00:00,,Active,30/10/2019 00:00:00
49895,59699,82,31/10/2008 00:00:00,,Active,31/10/2019 00:00:00
49900,59784,82,02/11/2008 00:00:00,,Active,02/10/2019 00:00:00
50203,59725,37,20/11/2008 00:00:00,,Active,23/10/2019 00:00:00
258404,62784,55,01/10/2004 00:00:00,,Active,04/10/2019 00:00:00
29667,62345,83,19/07/2005 00:00:00,,Active,19/10/2019 00:00:00
41672,61032,82,11/05/2007 00:00:00,,Active,20/10/2019 00:00:00
30476,62188,82,09/09/2005 00:00:00,,Active,10/10/2019 00:00:00
50976,58039,19,03/02/2009 00:00:00,,Active,03/10/2019 00:00:00
436573,60798,3,05/09/2007 00:00:00,,Active,20/10/2019 00:00:00
30770,62225,84,04/10/2005 00:00:00,,Active,04/10/2019 00:00:00
30840,62207,82,07/10/2005 00:00:00,,Active,07/10/2019 00:00:00
30850,62219,83,07/10/2005 00:00:00,,Active,12/10/2019 00:00:00
30912,58045,82,11/10/2005 00:00:00,,Active,11/10/2019 00:00:00
30921,62189,82,12/10/2005 00:00:00,,Active,12/10/2019 00:00:00
30939,62201,82,13/10/2005 00:00:00,,Active,13/10/2019 00:00:00
