ID,USERID,TYPE,REGISTRATIONDATE,DOMAIN,STATUS,NEXTDUEDATE
105618,87493,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105619,87493,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105621,87494,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105623,87496,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105628,87499,Register,27/10/2017 00:00:00,,Active,27/10/2019 00:00:00
105630,65219,Register,27/10/2017 00:00:00,,Active,27/10/2019 00:00:00
105632,87502,Register,27/10/2017 00:00:00,,Active,27/10/2019 00:00:00
105635,87504,Register,27/10/2017 00:00:00,,Active,27/10/2019 00:00:00
105637,75872,Register,27/10/2017 00:00:00,,Active,27/10/2019 00:00:00
105641,79116,Register,28/10/2017 00:00:00,,Active,28/10/2019 00:00:00
105642,79116,Register,28/10/2017 00:00:00,,Active,28/10/2019 00:00:00
105643,79116,Register,28/10/2017 00:00:00,,Active,28/10/2019 00:00:00
105644,79116,Register,28/10/2017 00:00:00,,Active,28/10/2019 00:00:00
105580,87485,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105670,76883,Register,28/10/2017 00:00:00,,Active,28/10/2019 00:00:00
105671,76883,Register,28/10/2017 00:00:00,,Active,28/10/2019 00:00:00
105672,76883,Register,28/10/2017 00:00:00,,Active,28/10/2019 00:00:00
105673,76883,Register,28/10/2017 00:00:00,,Active,28/10/2019 00:00:00
105674,76883,Register,28/10/2017 00:00:00,,Active,28/10/2019 00:00:00
105677,87512,Register,28/10/2017 00:00:00,,Active,28/10/2019 00:00:00
105678,71571,Register,29/10/2017 00:00:00,,Active,29/10/2019 00:00:00
105683,70481,Register,29/10/2017 00:00:00,,Active,29/10/2019 00:00:00
105689,87517,Register,29/10/2017 00:00:00,,Active,29/10/2019 00:00:00
105690,87517,Register,29/10/2017 00:00:00,,Active,29/10/2019 00:00:00
105692,84151,Register,30/10/2017 00:00:00,,Active,30/10/2019 00:00:00
105693,87518,Register,30/10/2017 00:00:00,,Active,30/10/2019 00:00:00
105696,87520,Register,30/10/2017 00:00:00,,Active,30/10/2019 00:00:00
105697,87521,Register,30/10/2017 00:00:00,,Active,30/10/2019 00:00:00
105699,86733,Register,30/10/2017 00:00:00,,Active,30/10/2019 00:00:00
105700,86204,Register,30/10/2017 00:00:00,,Active,30/10/2019 00:00:00
105701,86204,Register,30/10/2017 00:00:00,,Active,30/10/2019 00:00:00
105708,75554,Register,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
105710,87525,Register,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
105713,87528,Register,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
105718,83871,Register,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
105719,83871,Register,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
105720,87529,Register,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
105727,87531,Register,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
105728,87531,Register,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
105730,80267,Register,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
105731,80267,Register,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
105992,87630,Transfer,09/11/2017 00:00:00,,Active,25/10/2019 00:00:00
106107,65863,Transfer,15/11/2017 00:00:00,,Active,15/10/2019 00:00:00
67609,60548,Transfer,19/04/2013 00:00:00,,Active,01/10/2019 00:00:00
64939,58453,Register,31/10/2012 00:00:00,,Active,31/10/2019 00:00:00
64943,68222,Register,31/10/2012 00:00:00,,Active,31/10/2019 00:00:00
64944,68222,Register,31/10/2012 00:00:00,,Active,31/10/2019 00:00:00
64945,68222,Register,31/10/2012 00:00:00,,Active,31/10/2019 00:00:00
64946,68224,Register,31/10/2012 00:00:00,,Active,31/10/2019 00:00:00
64951,68226,Transfer,31/10/2012 00:00:00,,Active,31/10/2019 00:00:00
64957,68230,Register,31/10/2012 00:00:00,,Active,31/10/2019 00:00:00
65074,68195,Transfer,07/11/2012 00:00:00,,Active,15/10/2019 00:00:00
67793,58041,Transfer,01/05/2013 00:00:00,,Active,18/10/2019 00:00:00
69166,70381,Register,19/10/2015 00:00:00,,Active,19/10/2019 00:00:00
69191,58478,Register,02/10/2015 00:00:00,,Active,03/10/2019 00:00:00
69192,58478,Register,02/10/2015 00:00:00,,Active,03/10/2019 00:00:00
69351,57847,Transfer,08/08/2013 00:00:00,,Active,01/10/2019 00:00:00
65407,58773,Register,28/11/2012 00:00:00,,Active,28/10/2019 00:00:00
65410,58773,Register,28/11/2012 00:00:00,,Active,10/10/2019 00:00:00
66697,69101,Transfer,21/02/2013 00:00:00,,Active,13/10/2019 00:00:00
68042,69844,Transfer,15/05/2013 00:00:00,,Active,22/10/2019 00:00:00
69703,68723,Transfer,27/08/2013 00:00:00,,Active,28/10/2019 00:00:00
69675,64148,Register,30/09/2013 00:00:00,,Active,08/10/2019 00:00:00
65693,58050,Transfer,21/12/2012 00:00:00,,Active,24/10/2019 00:00:00
64523,58539,Register,02/10/2012 00:00:00,,Active,02/10/2019 00:00:00
64529,68015,Register,03/10/2012 00:00:00,,Active,03/10/2019 00:00:00
64538,68019,Register,03/10/2012 00:00:00,,Active,04/10/2019 00:00:00
64559,67656,Register,04/10/2012 00:00:00,,Active,23/10/2019 00:00:00
64564,68024,Register,04/10/2012 00:00:00,,Cancelled,05/10/2019 00:00:00
64569,64310,Register,05/10/2012 00:00:00,,Active,05/10/2019 00:00:00
64570,68029,Register,05/10/2012 00:00:00,,Active,12/10/2019 00:00:00
64571,68029,Register,05/10/2012 00:00:00,,Active,05/10/2019 00:00:00
64572,68029,Register,05/10/2012 00:00:00,,Active,05/10/2019 00:00:00
64573,68029,Register,05/10/2012 00:00:00,,Active,12/10/2019 00:00:00
64577,57842,Register,05/10/2012 00:00:00,,Active,05/10/2019 00:00:00
64578,57842,Register,05/10/2012 00:00:00,,Active,05/10/2019 00:00:00
64587,68035,Register,05/10/2012 00:00:00,,Active,05/10/2019 00:00:00
64589,59548,Register,05/10/2012 00:00:00,,Active,05/10/2019 00:00:00
64600,68048,Transfer,08/10/2012 00:00:00,,Active,21/10/2019 00:00:00
64601,68029,Register,08/10/2012 00:00:00,,Active,12/10/2019 00:00:00
64602,68029,Register,08/10/2012 00:00:00,,Active,08/10/2019 00:00:00
64612,59310,Register,08/10/2012 00:00:00,,Active,08/10/2019 00:00:00
64619,57998,Register,09/10/2012 00:00:00,,Active,19/10/2019 00:00:00
64620,57998,Register,09/10/2012 00:00:00,,Active,19/10/2019 00:00:00
64628,68059,Register,09/10/2012 00:00:00,,Active,09/10/2019 00:00:00
64630,58407,Register,09/10/2012 00:00:00,,Active,09/10/2019 00:00:00
